home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime
Toluca,Monterrey,,,1.0,1.0,1.0,0.0,1.0,1.0
Cruz Azul,Club Tijuana,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Pachuca,Club America,False,True,0.0,3.0,0.0,1.0,0.0,3.0
Santos Laguna,Leon,True,False,2.0,1.0,1.0,1.0,2.0,1.0
Atletico San Luis,U.N.A.M. - Pumas,True,False,3.0,2.0,1.0,2.0,3.0,2.0
Guadalajara Chivas,Tigres UANL,False,True,1.0,4.0,0.0,2.0,1.0,4.0
Necaxa,Guadalajara Chivas,False,True,0.0,4.0,0.0,2.0,0.0,4.0
FC Juarez,Mazatlán,,,1.0,1.0,0.0,1.0,1.0,1.0
Club Queretaro,Club Tijuana,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Atlas,Puebla,,,1.0,1.0,1.0,1.0,1.0,1.0
Monterrey,Tigres UANL,,,0.0,0.0,0.0,0.0,0.0,0.0
Club America,Cruz Azul,True,False,7.0,0.0,3.0,0.0,7.0,0.0
U.N.A.M. - Pumas,Santos Laguna,False,True,1.0,5.0,0.0,3.0,1.0,5.0
Atletico San Luis,Toluca,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Pachuca,Leon,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Puebla,FC Juarez,,,2.0,2.0,1.0,1.0,2.0,2.0
Mazatlán,Club America,False,True,1.0,3.0,1.0,2.0,1.0,3.0
Cruz Azul,Club Queretaro,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Tigres UANL,Necaxa,,,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara Chivas,U.N.A.M. - Pumas,True,False,3.0,1.0,3.0,1.0,3.0,1.0
Toluca,Pachuca,False,True,1.0,4.0,0.0,2.0,1.0,4.0
Santos Laguna,Atletico San Luis,True,False,4.0,1.0,1.0,0.0,4.0,1.0
Leon,Atlas,True,False,4.0,2.0,1.0,1.0,4.0,2.0
Club Tijuana,Monterrey,False,True,0.0,3.0,0.0,0.0,0.0,3.0
Atletico San Luis,Club Tijuana,,,0.0,0.0,0.0,0.0,0.0,0.0
Club Queretaro,Puebla,,,1.0,1.0,1.0,0.0,1.0,1.0
Necaxa,Leon,True,False,3.0,2.0,3.0,0.0,3.0,2.0
FC Juarez,Cruz Azul,,,2.0,2.0,0.0,2.0,2.0,2.0
Pachuca,Santos Laguna,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Monterrey,Mazatlán,,,0.0,0.0,0.0,0.0,0.0,0.0
Atlas,U.N.A.M. - Pumas,,,0.0,0.0,0.0,0.0,0.0,0.0
Club America,Tigres UANL,True,False,2.0,1.0,2.0,1.0,2.0,1.0
Toluca,Guadalajara Chivas,,,0.0,0.0,0.0,0.0,0.0,0.0
Leon,FC Juarez,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Santos Laguna,Necaxa,True,False,3.0,1.0,1.0,0.0,3.0,1.0
Monterrey,Cruz Azul,True,False,3.0,2.0,2.0,1.0,3.0,2.0
Club America,Atletico San Luis,True,False,3.0,0.0,1.0,0.0,3.0,0.0
