home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime
Santos Laguna,Monterrey,,,0.0,0.0,0.0,0.0,0.0,0.0
Club America,Atletico San Luis,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Atletico San Luis,Club America,False,True,1.0,3.0,1.0,3.0,1.0,3.0
Guadalajara Chivas,Atlas,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Atlas,Guadalajara Chivas,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Toluca,Tigres UANL,True,False,3.0,1.0,2.0,0.0,3.0,1.0
Tigres UANL,Toluca,True,False,4.0,1.0,3.0,1.0,4.0,1.0
Tigres UANL,Monterrey,,,1.0,1.0,0.0,1.0,1.0,1.0
Monterrey,Tigres UANL,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Guadalajara Chivas,Club America,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Club America,Guadalajara Chivas,False,True,1.0,3.0,0.0,1.0,1.0,3.0
Tigres UANL,Guadalajara Chivas,,,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara Chivas,Tigres UANL,False,True,2.0,3.0,2.0,0.0,2.0,2.0
Club America,FC Juarez,False,True,1.0,2.0,1.0,0.0,1.0,2.0
Club Tijuana,U.N.A.M. - Pumas,False,True,2.0,3.0,1.0,1.0,2.0,3.0
Mazatlán,Pachuca,,,1.0,1.0,0.0,1.0,1.0,1.0
Atletico San Luis,Monterrey,,,1.0,1.0,0.0,1.0,1.0,1.0
Tigres UANL,Puebla,,,1.0,1.0,0.0,0.0,1.0,1.0
Atlas,Cruz Azul,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Toluca,Necaxa,,,0.0,0.0,0.0,0.0,0.0,0.0
Leon,Guadalajara Chivas,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Puebla,Santos Laguna,False,True,2.0,3.0,2.0,2.0,2.0,3.0
FC Juarez,Tigres UANL,,,1.0,1.0,0.0,1.0,1.0,1.0
Guadalajara Chivas,Atletico San Luis,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Monterrey,Atlas,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Cruz Azul,Toluca,False,True,0.0,2.0,0.0,1.0,0.0,2.0
U.N.A.M. - Pumas,Mazatlán,,,0.0,0.0,0.0,0.0,0.0,0.0
Necaxa,Club Tijuana,,,1.0,1.0,0.0,0.0,1.0,1.0
Club Queretaro,Club America,False,True,1.0,2.0,1.0,0.0,1.0,2.0
Leon,Pachuca,True,False,4.0,0.0,3.0,0.0,4.0,0.0
Santos Laguna,Atlas,,,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara Chivas,Necaxa,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Mazatlán,Monterrey,False,True,0.0,3.0,0.0,0.0,0.0,3.0
Club Tijuana,Cruz Azul,True,False,2.0,1.0,0.0,1.0,2.0,1.0
Atletico San Luis,Club Queretaro,True,False,4.0,1.0,2.0,1.0,4.0,1.0
Club America,Puebla,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Tigres UANL,Leon,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Toluca,FC Juarez,False,True,2.0,4.0,1.0,1.0,2.0,4.0
Pachuca,U.N.A.M. - Pumas,,,1.0,1.0,1.0,1.0,1.0,1.0
Puebla,Atletico San Luis,False,True,1.0,2.0,0.0,1.0,1.0,2.0
FC Juarez,Guadalajara Chivas,,,1.0,1.0,0.0,1.0,1.0,1.0
Necaxa,Tigres UANL,False,True,0.0,3.0,0.0,1.0,0.0,3.0
Leon,Mazatlán,True,False,2.0,1.0,0.0,1.0,2.0,1.0
Monterrey,Club Tijuana,True,False,3.0,1.0,2.0,0.0,3.0,1.0
Club America,Atlas,,,1.0,1.0,1.0,1.0,1.0,1.0
U.N.A.M. - Pumas,Toluca,,,1.0,1.0,1.0,1.0,1.0,1.0
Cruz Azul,Santos Laguna,,,2.0,2.0,2.0,1.0,2.0,2.0
Club Queretaro,Pachuca,,,1.0,1.0,1.0,0.0,1.0,1.0
Club America,Necaxa,True,False,3.0,2.0,2.0,1.0,3.0,2.0
FC Juarez,U.N.A.M. - Pumas,True,False,4.0,1.0,3.0,0.0,4.0,1.0
Club Queretaro,Atlas,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Pachuca,Cruz Azul,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Toluca,Monterrey,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Guadalajara Chivas,Club Tijuana,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Mazatlán,Puebla,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Tigres UANL,Santos Laguna,True,False,3.0,2.0,1.0,1.0,3.0,2.0
Club Tijuana,Mazatlán,,,1.0,1.0,1.0,1.0,1.0,1.0
Club America,Leon,,,1.0,1.0,0.0,0.0,1.0,1.0
Santos Laguna,Guadalajara Chivas,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Necaxa,Club Queretaro,False,True,0.0,1.0,0.0,0.0,0.0,1.0
U.N.A.M. - Pumas,Tigres UANL,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Monterrey,Cruz Azul,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Pachuca,Atletico San Luis,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Atletico San Luis,Atlas,True,False,2.0,0.0,1.0,0.0,2.0,0.0
FC Juarez,Mazatlán,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Puebla,Club Tijuana,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Guadalajara Chivas,Monterrey,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Leon,Necaxa,,,1.0,1.0,0.0,1.0,1.0,1.0
Santos Laguna,U.N.A.M. - Pumas,True,False,2.0,1.0,2.0,1.0,2.0,1.0
Tigres UANL,Club Queretaro,True,False,5.0,0.0,2.0,0.0,5.0,0.0
Cruz Azul,Club America,False,True,2.0,3.0,1.0,3.0,2.0,3.0
Toluca,Pachuca,True,False,5.0,0.0,2.0,0.0,5.0,0.0
Monterrey,Leon,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Club America,Guadalajara Chivas,True,False,4.0,0.0,2.0,0.0,4.0,0.0
Mazatlán,Cruz Azul,,,2.0,2.0,2.0,0.0,2.0,2.0
Club Tijuana,Toluca,True,False,2.0,1.0,2.0,0.0,2.0,1.0
Necaxa,FC Juarez,,,1.0,1.0,1.0,1.0,1.0,1.0
U.N.A.M. - Pumas,Atletico San Luis,True,False,3.0,2.0,0.0,1.0,3.0,2.0
Club Queretaro,Puebla,,,1.0,1.0,0.0,1.0,1.0,1.0
Atlas,Tigres UANL,True,False,2.0,0.0,2.0,0.0,2.0,0.0
Pachuca,Santos Laguna,True,False,3.0,2.0,1.0,0.0,3.0,2.0
Atletico San Luis,Mazatlán,True,False,3.0,2.0,2.0,0.0,3.0,2.0
FC Juarez,Atlas,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Puebla,U.N.A.M. - Pumas,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Leon,Club Tijuana,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Tigres UANL,Monterrey,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Cruz Azul,Club Queretaro,False,True,1.0,3.0,1.0,0.0,1.0,3.0
Santos Laguna,Necaxa,False,True,2.0,5.0,0.0,1.0,2.0,5.0
Atlas,Puebla,False,True,2.0,3.0,1.0,2.0,2.0,3.0
Club Queretaro,Leon,,,1.0,1.0,0.0,1.0,1.0,1.0
Mazatlán,Tigres UANL,False,True,2.0,3.0,1.0,1.0,2.0,3.0
Club Tijuana,FC Juarez,True,False,5.0,1.0,1.0,1.0,5.0,1.0
Pachuca,Necaxa,,,1.0,1.0,1.0,1.0,1.0,1.0
Monterrey,Santos Laguna,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Club America,U.N.A.M. - Pumas,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Toluca,Guadalajara Chivas,,,1.0,1.0,0.0,0.0,1.0,1.0
Atletico San Luis,Cruz Azul,False,True,1.0,2.0,0.0,0.0,1.0,2.0
Puebla,Monterrey,,,1.0,1.0,1.0,1.0,1.0,1.0
Club America,Pachuca,True,False,4.0,0.0,1.0,0.0,4.0,0.0
U.N.A.M. - Pumas,Club Queretaro,True,False,4.0,0.0,2.0,0.0,4.0,0.0
Necaxa,Cruz Azul,False,True,1.0,3.0,0.0,1.0,1.0,3.0
Tigres UANL,Toluca,,,2.0,2.0,1.0,1.0,2.0,2.0
Guadalajara Chivas,Mazatlán,False,True,1.0,3.0,0.0,2.0,1.0,3.0
Santos Laguna,Club Tijuana,True,False,2.0,1.0,1.0,1.0,2.0,1.0
FC Juarez,Atletico San Luis,True,False,3.0,2.0,2.0,0.0,3.0,2.0
Mazatlán,Club America,False,True,1.0,2.0,1.0,0.0,1.0,2.0
Monterrey,FC Juarez,True,False,3.0,1.0,2.0,0.0,3.0,1.0
Pachuca,Tigres UANL,,,1.0,1.0,1.0,1.0,1.0,1.0
Guadalajara Chivas,Atlas,True,False,4.0,1.0,1.0,1.0,4.0,1.0
Cruz Azul,U.N.A.M. - Pumas,False,True,1.0,4.0,1.0,1.0,1.0,4.0
Toluca,Club Queretaro,True,False,3.0,1.0,1.0,1.0,3.0,1.0
Necaxa,Puebla,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Santos Laguna,Leon,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Club Tijuana,Atletico San Luis,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Atlas,Mazatlán,False,True,1.0,3.0,1.0,2.0,1.0,3.0
FC Juarez,Pachuca,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Leon,Toluca,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Club America,Santos Laguna,True,False,4.0,3.0,3.0,2.0,4.0,3.0
Tigres UANL,Cruz Azul,True,False,2.0,1.0,0.0,1.0,2.0,1.0
U.N.A.M. - Pumas,Monterrey,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Atletico San Luis,Necaxa,True,False,4.0,0.0,2.0,0.0,4.0,0.0
Club Queretaro,Club Tijuana,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Necaxa,U.N.A.M. - Pumas,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Mazatlán,Club Queretaro,True,False,3.0,0.0,0.0,0.0,3.0,0.0
Cruz Azul,Leon,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Pachuca,Puebla,,,1.0,1.0,1.0,1.0,1.0,1.0
Guadalajara Chivas,Tigres UANL,False,True,0.0,4.0,0.0,1.0,0.0,4.0
Monterrey,Club America,False,True,0.0,3.0,0.0,3.0,0.0,3.0
Toluca,Atletico San Luis,True,False,3.0,1.0,1.0,0.0,3.0,1.0
Santos Laguna,FC Juarez,True,False,5.0,1.0,2.0,1.0,5.0,1.0
Club Tijuana,Atlas,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Club Queretaro,Guadalajara Chivas,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Leon,U.N.A.M. - Pumas,,,1.0,1.0,0.0,1.0,1.0,1.0
Monterrey,Necaxa,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Atlas,Pachuca,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Cruz Azul,FC Juarez,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Mazatlán,Santos Laguna,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Atletico San Luis,Club America,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Club Tijuana,Tigres UANL,True,False,2.0,0.0,2.0,0.0,2.0,0.0
Puebla,Leon,True,False,5.0,4.0,1.0,3.0,5.0,4.0
Tigres UANL,Atletico San Luis,,,2.0,2.0,0.0,0.0,2.0,2.0
Club America,Club Tijuana,True,False,3.0,0.0,0.0,0.0,3.0,0.0
Guadalajara Chivas,Cruz Azul,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Pachuca,Monterrey,False,True,0.0,2.0,0.0,2.0,0.0,2.0
U.N.A.M. - Pumas,Atlas,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Necaxa,Mazatlán,True,False,4.0,0.0,2.0,0.0,4.0,0.0
Santos Laguna,Toluca,True,False,3.0,1.0,1.0,0.0,3.0,1.0
FC Juarez,Club Queretaro,False,True,0.0,3.0,0.0,1.0,0.0,3.0
Atlas,Necaxa,,,0.0,0.0,0.0,0.0,0.0,0.0
Mazatlán,Toluca,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Club Tijuana,Pachuca,False,True,2.0,3.0,1.0,0.0,2.0,3.0
Club Queretaro,Monterrey,,,0.0,0.0,0.0,0.0,0.0,0.0
Atletico San Luis,Santos Laguna,False,True,0.0,2.0,0.0,2.0,0.0,2.0
U.N.A.M. - Pumas,Guadalajara Chivas,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Tigres UANL,Club America,,,0.0,0.0,0.0,0.0,0.0,0.0
Cruz Azul,Puebla,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Leon,FC Juarez,True,False,2.0,1.0,2.0,1.0,2.0,1.0
Atletico San Luis,Leon,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Puebla,FC Juarez,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Toluca,Club America,,,1.0,1.0,0.0,1.0,1.0,1.0
Leon,Atlas,,,1.0,1.0,0.0,1.0,1.0,1.0
Puebla,Guadalajara Chivas,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Toluca,Puebla,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Guadalajara Chivas,U.N.A.M. - Pumas,True,False,1.0,0.0,1.0,0.0,1.0,0.0
U.N.A.M. - Pumas,Guadalajara Chivas,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Puebla,Tigres UANL,,,2.0,2.0,1.0,1.0,2.0,2.0
Tigres UANL,Puebla,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Atletico San Luis,Leon,True,False,3.0,2.0,2.0,1.0,3.0,2.0
Santos Laguna,Mazatlán,True,False,2.0,1.0,1.0,0.0,2.0,1.0
León,Club America,,,2.0,2.0,2.0,1.0,2.0,2.0
Atletico San Luis,Monterrey,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Monterrey,Atletico San Luis,,,1.0,1.0,1.0,0.0,1.0,1.0
Leon,Santos Laguna,True,False,3.0,2.0,2.0,0.0,3.0,2.0
Club America,Leon,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Atletico San Luis,Club America,False,True,0.0,5.0,0.0,2.0,0.0,5.0
Club America,Atletico San Luis,False,True,0.0,2.0,0.0,0.0,0.0,2.0
U.N.A.M. - Pumas,Tigres UANL,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Tigres UANL,U.N.A.M. - Pumas,,,1.0,1.0,1.0,1.0,1.0,1.0
Tigres UANL,Club America,,,1.0,1.0,0.0,0.0,1.0,1.0
Club America,Tigres UANL,True,False,3.0,0.0,0.0,0.0,0.0,0.0
Club Queretaro,Toluca,,,2.0,2.0,1.0,0.0,2.0,2.0
Mazatlán,Atletico San Luis,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Cruz Azul,Pachuca,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Guadalajara Chivas,Santos Laguna,,,1.0,1.0,0.0,0.0,1.0,1.0
Monterrey,Puebla,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Club Tijuana,Club America,False,True,0.0,2.0,0.0,0.0,0.0,2.0
U.N.A.M. - Pumas,FC Juarez,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Necaxa,Atlas,True,False,2.0,1.0,0.0,1.0,2.0,1.0
Leon,Tigres UANL,False,True,1.0,2.0,0.0,0.0,1.0,2.0
Puebla,Necaxa,False,True,1.0,2.0,0.0,0.0,1.0,2.0
Atletico San Luis,U.N.A.M. - Pumas,True,False,3.0,1.0,1.0,0.0,3.0,1.0
FC Juarez,Cruz Azul,,,0.0,0.0,0.0,0.0,0.0,0.0
Toluca,Mazatlán,True,False,4.0,1.0,1.0,1.0,4.0,1.0
Club America,Club Queretaro,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Atlas,Club Tijuana,,,0.0,0.0,0.0,0.0,0.0,0.0
Pachuca,Leon,True,False,3.0,2.0,1.0,2.0,3.0,2.0
Tigres UANL,Guadalajara Chivas,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Santos Laguna,Monterrey,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Puebla,Toluca,,,1.0,1.0,1.0,1.0,1.0,1.0
Club Tijuana,Guadalajara Chivas,,,1.0,1.0,1.0,0.0,1.0,1.0
Cruz Azul,Mazatlán,True,False,2.0,1.0,2.0,1.0,2.0,1.0
Leon,Santos Laguna,True,False,3.0,2.0,0.0,1.0,3.0,2.0
Monterrey,Atletico San Luis,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Necaxa,Club America,,,0.0,0.0,0.0,0.0,0.0,0.0
Atlas,FC Juarez,True,False,2.0,1.0,2.0,0.0,2.0,1.0
U.N.A.M. - Pumas,Pachuca,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Club Queretaro,Tigres UANL,,,1.0,1.0,1.0,0.0,1.0,1.0
Atletico San Luis,Tigres UANL,False,True,1.0,2.0,1.0,0.0,1.0,2.0
Monterrey,Club Queretaro,,,1.0,1.0,1.0,0.0,1.0,1.0
FC Juarez,Club America,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Cruz Azul,Club Tijuana,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Mazatlán,Leon,,,2.0,2.0,2.0,1.0,2.0,2.0
Guadalajara Chivas,Toluca,True,False,3.0,2.0,2.0,2.0,3.0,2.0
Pachuca,Atlas,True,False,4.0,3.0,3.0,2.0,4.0,3.0
Santos Laguna,Puebla,True,False,3.0,0.0,0.0,0.0,3.0,0.0
U.N.A.M. - Pumas,Necaxa,,,2.0,2.0,1.0,0.0,2.0,2.0
Club Queretaro,Cruz Azul,False,True,1.0,3.0,1.0,3.0,1.0,3.0
Puebla,Mazatlán,True,False,3.0,2.0,1.0,1.0,3.0,2.0
Toluca,Leon,True,False,4.0,1.0,3.0,0.0,4.0,1.0
FC Juarez,Necaxa,,,2.0,2.0,1.0,1.0,2.0,2.0
Pachuca,Club Tijuana,True,False,3.0,2.0,2.0,1.0,3.0,2.0
Tigres UANL,U.N.A.M. - Pumas,,,2.0,2.0,1.0,0.0,2.0,2.0
Club America,Monterrey,,,1.0,1.0,1.0,1.0,1.0,1.0
Atlas,Santos Laguna,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Atletico San Luis,Guadalajara Chivas,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Mazatlán,Atlas,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Club Tijuana,Club Queretaro,,,1.0,1.0,1.0,1.0,1.0,1.0
Necaxa,Toluca,,,3.0,3.0,2.0,1.0,3.0,3.0
Guadalajara Chivas,FC Juarez,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Cruz Azul,Atletico San Luis,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Leon,Club America,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Monterrey,Pachuca,True,False,3.0,2.0,2.0,0.0,3.0,2.0
Santos Laguna,Tigres UANL,False,True,0.0,3.0,0.0,2.0,0.0,3.0
U.N.A.M. - Pumas,Puebla,True,False,3.0,0.0,0.0,0.0,3.0,0.0
Club Queretaro,Necaxa,,,1.0,1.0,1.0,0.0,1.0,1.0
Mazatlán,Guadalajara Chivas,,,2.0,2.0,0.0,1.0,2.0,2.0
FC Juarez,Puebla,True,False,4.0,3.0,1.0,1.0,4.0,3.0
Atletico San Luis,Club Tijuana,,,3.0,3.0,1.0,2.0,3.0,3.0
Pachuca,Club America,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Cruz Azul,Tigres UANL,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Atlas,Leon,False,True,0.0,1.0,0.0,0.0,0.0,1.0
U.N.A.M. - Pumas,Santos Laguna,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Monterrey,Toluca,,,0.0,0.0,0.0,0.0,0.0,0.0
Puebla,Club Queretaro,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Necaxa,Pachuca,,,1.0,1.0,1.0,0.0,1.0,1.0
FC Juarez,Monterrey,False,True,0.0,3.0,0.0,0.0,0.0,3.0
Leon,Atletico San Luis,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Guadalajara Chivas,U.N.A.M. - Pumas,True,False,3.0,1.0,0.0,0.0,3.0,1.0
Tigres UANL,Atlas,,,1.0,1.0,1.0,0.0,1.0,1.0
Club America,Cruz Azul,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Toluca,Club Tijuana,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Santos Laguna,Mazatlán,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Puebla,Pachuca,False,True,1.0,4.0,1.0,1.0,1.0,4.0
Necaxa,Guadalajara Chivas,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Toluca,Santos Laguna,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Leon,Cruz Azul,False,True,2.0,3.0,0.0,2.0,2.0,3.0
Club America,Mazatlán,,,2.0,2.0,0.0,1.0,2.0,2.0
Club Queretaro,Atletico San Luis,True,False,4.0,1.0,2.0,0.0,4.0,1.0
Tigres UANL,FC Juarez,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Club Tijuana,Monterrey,,,1.0,1.0,0.0,0.0,1.0,1.0
Club Queretaro,Santos Laguna,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Atletico San Luis,Puebla,True,False,4.0,0.0,2.0,0.0,4.0,0.0
Mazatlán,Necaxa,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Toluca,Tigres UANL,True,False,2.0,1.0,0.0,1.0,2.0,1.0
Pachuca,FC Juarez,True,False,3.0,2.0,0.0,0.0,3.0,2.0
Cruz Azul,Guadalajara Chivas,True,False,3.0,0.0,3.0,0.0,3.0,0.0
Atlas,Club America,False,True,1.0,5.0,1.0,2.0,1.0,5.0
Monterrey,U.N.A.M. - Pumas,True,False,3.0,0.0,0.0,0.0,3.0,0.0
Club Tijuana,Leon,,,1.0,1.0,0.0,0.0,1.0,1.0
Puebla,Atlas,,,2.0,2.0,1.0,2.0,2.0,2.0
FC Juarez,Toluca,,,1.0,1.0,1.0,1.0,1.0,1.0
Necaxa,Atletico San Luis,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Guadalajara Chivas,Leon,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Pachuca,Club Queretaro,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Santos Laguna,Cruz Azul,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Club America,Tigres UANL,True,False,2.0,0.0,1.0,0.0,2.0,0.0
U.N.A.M. - Pumas,Club Tijuana,,,3.0,3.0,2.0,1.0,3.0,3.0
Monterrey,Mazatlán,True,False,2.0,1.0,2.0,0.0,2.0,1.0
Club Queretaro,FC Juarez,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Club Tijuana,Santos Laguna,,,2.0,2.0,0.0,1.0,2.0,2.0
Cruz Azul,Necaxa,False,True,1.0,2.0,1.0,2.0,1.0,2.0
Leon,Puebla,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Toluca,U.N.A.M. - Pumas,True,False,3.0,0.0,2.0,0.0,3.0,0.0
Tigres UANL,Mazatlán,True,False,5.0,1.0,2.0,0.0,5.0,1.0
Guadalajara Chivas,Club America,,,0.0,0.0,0.0,0.0,0.0,0.0
Atlas,Monterrey,False,True,1.0,2.0,0.0,1.0,1.0,2.0
Atletico San Luis,Pachuca,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Puebla,Tigres UANL,False,True,2.0,3.0,1.0,0.0,2.0,3.0
Mazatlán,Club Tijuana,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Club America,Atletico San Luis,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Pachuca,Toluca,False,True,2.0,3.0,1.0,3.0,2.0,3.0
Monterrey,Guadalajara Chivas,False,True,0.0,2.0,0.0,0.0,0.0,2.0
U.N.A.M. - Pumas,Cruz Azul,,,0.0,0.0,0.0,0.0,0.0,0.0
Atlas,Club Queretaro,False,True,2.0,3.0,2.0,1.0,2.0,3.0
Necaxa,Leon,False,True,1.0,2.0,0.0,0.0,1.0,2.0
FC Juarez,Santos Laguna,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Mazatlán,U.N.A.M. - Pumas,False,True,0.0,4.0,0.0,1.0,0.0,4.0
Club Tijuana,Necaxa,False,True,2.0,3.0,1.0,1.0,2.0,3.0
Leon,Club Queretaro,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Guadalajara Chivas,Puebla,True,False,3.0,2.0,1.0,0.0,3.0,2.0
Tigres UANL,Pachuca,False,True,0.0,3.0,0.0,0.0,0.0,3.0
Cruz Azul,Monterrey,True,False,2.0,1.0,0.0,0.0,2.0,1.0
Santos Laguna,Club America,,,1.0,1.0,0.0,0.0,1.0,1.0
Toluca,Atlas,True,False,4.0,1.0,2.0,0.0,4.0,1.0
Atletico San Luis,FC Juarez,False,True,2.0,3.0,2.0,2.0,2.0,3.0
Club Queretaro,Mazatlán,False,True,0.0,2.0,0.0,1.0,0.0,2.0
Necaxa,Santos Laguna,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Puebla,Cruz Azul,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Pachuca,Guadalajara Chivas,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Club America,Toluca,True,False,5.0,1.0,3.0,1.0,5.0,1.0
Monterrey,Tigres UANL,,,3.0,3.0,1.0,2.0,3.0,3.0
Atlas,Atletico San Luis,True,False,2.0,1.0,1.0,1.0,2.0,1.0
U.N.A.M. - Pumas,Leon,True,False,1.0,0.0,0.0,0.0,1.0,0.0
FC Juarez,Club Tijuana,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Mazatlán,FC Juarez,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Atletico San Luis,Toluca,False,True,1.0,5.0,1.0,2.0,1.0,5.0
Club Tijuana,Puebla,True,False,3.0,1.0,0.0,1.0,3.0,1.0
Leon,Monterrey,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Tigres UANL,Necaxa,True,False,5.0,2.0,0.0,1.0,5.0,2.0
Guadalajara Chivas,Club Queretaro,True,False,2.0,0.0,0.0,0.0,2.0,0.0
U.N.A.M. - Pumas,Club America,True,False,2.0,1.0,1.0,1.0,2.0,1.0
Cruz Azul,Atlas,,,2.0,2.0,1.0,2.0,2.0,2.0
Santos Laguna,Pachuca,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Puebla,Club America,False,True,1.0,2.0,1.0,2.0,1.0,2.0
Club Queretaro,U.N.A.M. - Pumas,,,1.0,1.0,0.0,0.0,1.0,1.0
FC Juarez,Leon,,,1.0,1.0,1.0,0.0,1.0,1.0
Tigres UANL,Club Tijuana,True,False,4.0,1.0,1.0,0.0,4.0,1.0
Toluca,Cruz Azul,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Atlas,Guadalajara Chivas,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Necaxa,Monterrey,False,True,2.0,5.0,0.0,0.0,2.0,5.0
Santos Laguna,Atletico San Luis,False,True,0.0,3.0,0.0,2.0,0.0,3.0
Guadalajara Chivas,Toluca,True,False,1.0,0.0,0.0,0.0,1.0,0.0
